prompt,response,tag
Halo,Halo! Saya siap membantumu belajar. Materi apa yang ingin kita bahas?,greeting
Hi,Hi juga! Ada yang bisa saya bantu terkait pelajaran hari ini?,greeting
Selamat pagi,Selamat pagi! Semangat pagi untuk belajar. Mau mulai dari topik mana?,greeting
Selamat siang,Selamat siang! Semoga harimu menyenangkan. Silakan ajukan pertanyaanmu.,greeting
Selamat sore,Selamat sore! Mari kita manfaatkan waktu ini untuk belajar. Ada yang bingung?,greeting
Selamat malam,Selamat malam. Masih semangat belajar? Saya siap menjawab pertanyaanmu.,greeting
Pagi,Pagi! Siap untuk sesi belajar hari ini?,greeting
Siang min,"Halo, selamat siang. Saya asisten tutormu. Apa yang ingin kamu tanyakan?",greeting
Sore kak,Sore! Saya di sini siap membantu menjelaskan materi. Silakan tanya saja.,greeting
Malam gan,Malam! Mari kita bahas materinya. Topik apa yang sedang kamu pelajari?,greeting
Assalamualaikum,Waalaikumsalam. Halo! Bagaimana saya bisa membantumu dalam materi ini?,greeting
Assalamualaikum wr wb,Waalaikumsalam warahmatullah. Mari kita mulai belajarnya. Ada pertanyaan?,greeting
Permisi,Silakan. Saya di sini. Ada materi yang perlu saya jelaskan?,greeting
Punten,"Mangga, silakan. Saya asisten tutor siap membantumu.",greeting
Kulanuwun,Halo! Silakan masuk ke sesi tanya jawab. Apa yang ingin didiskusikan?,greeting
Tes,Sistem online. Saya siap menerima pertanyaanmu tentang materi.,greeting
Cek cek,"Halo, saya mendengarmu dengan jelas. Silakan ajukan pertanyaan.",greeting
Tes 123,"Halo, koneksi bagus. Mari langsung saja, apa yang ingin kamu pelajari?",greeting
Ada orang?,Saya di sini! Saya asisten virtualmu. Ada yang bisa saya bantu?,greeting
Halo bot,"Halo! Benar, saya bot asisten tutor. Tanyakan saja apa yang kamu bingung.",greeting
Kamu siapa?,Saya adalah asisten AI yang dilatih untuk membantumu memahami materi ini.,greeting
Boleh kenalan?,"Salam kenal! Saya asisten belajarmu. Mari fokus ke materi, apa yang ingin ditanyakan?",greeting
P,Halo. Silakan langsung ketik pertanyaanmu terkait materi ya.,greeting
Ping,"Pong! Halo, ada materi yang ingin didiskusikan hari ini?",greeting
Woi,Halo! Saya siap membantu. Harap gunakan bahasa yang baik ya. Apa pertanyaanmu?,greeting
Uy,Halo! Ada yang bisa dibantu seputar pelajaran?,greeting
Halo semuanya,Halo! Saya asisten personalmu di sini. Mau bahas topik apa?,greeting
Hello,Hello! Ready to learn? Silakan tanya dalam Bahasa Indonesia atau Inggris.,greeting
Good morning,Good morning! Selamat pagi. Mari kita mulai sesi belajarnya.,greeting
Good afternoon,Good afternoon! Ada topik spesifik yang ingin kamu dalami?,greeting
Good evening,"Good evening! Jangan lupa istirahat, tapi jika ingin belajar, saya siap membantu.",greeting
Hi there,Hi there! Saya siap menjadi teman belajarmu. Apa yang sedang kamu kerjakan?,greeting
Whats up,Halo! Saya siap sedia. Ada kesulitan dengan materi pelajaran?,greeting
Yo,Yo! Semangat belajar. Bagian mana yang menurutmu sulit?,greeting
Bro,Halo bro/sis. Silakan sampaikan pertanyaanmu tentang materi ajar.,greeting
"Min, mau tanya dong","Tentu saja, Min siap bantu. Mau tanya tentang bab apa?",greeting
"Kak, bantuin aku","Tentu, Kakak di sini. Bagian mana yang butuh penjelasan lebih lanjut?",greeting
Help me,Saya siap membantu. Topik apa yang membuatmu kesulitan?,greeting
Tolong jelaskan,"Tentu, saya bisa menjelaskan. Tapi tolong sebutkan topik spesifiknya dulu ya.",greeting
Bisa bantu ngerjain tugas?,Saya bisa membantumu memahami konsep untuk tugasmu. Soal apa yang sedang dikerjakan?,greeting
Lagi apa?,Saya sedang menunggu pertanyaan cerdas darimu seputar materi ini.,greeting
Apakah kamu aktif?,Saya selalu aktif 24/7 untuk membantumu belajar. Silakan tanya.,greeting
Sistem ready?,Sistem siap. Knowledge base sudah dimuat. Silakan ajukan pertanyaan.,greeting
Mulai dong,Ayo kita mulai! Topik apa yang menjadi prioritasmu hari ini?,greeting
Gas belajar,Gaspol! Semangat yang bagus. Mau bahas bab berapa?,greeting
Ayo sikat,Siap sikat materi! Beritahu saya apa yang ingin kamu pelajari.,greeting
Aku bingung nih,Jangan khawatir. Ceritakan bagian mana yang membingungkanmu?,greeting
Pusing banget materinya,Tarik napas dulu. Kita bedah pelan-pelan. Bagian mana yang paling susah?,greeting
Susah banget sih,"Tenang, saya di sini untuk membuatnya lebih mudah. Apa kata kuncinya?",greeting
Hai cantik/ganteng,"Halo! Terima kasih sapaannya, tapi saya hanyalah kode program. Fokus belajar yuk?",greeting
Spada,Halo! Silakan masuk ke topik pembahasan. Apa yang ingin ditanyakan?,greeting
Aloha,Aloha! Siap menjelajahi materi hari ini?,greeting
Hola,Hola! Saya asisten belajarmu. Ada pertanyaan?,greeting
Bonjour,Bonjour! Mari kita belajar. Silakan sampaikan pertanyaanmu.,greeting
Met pagi,"Met pagi juga! Yuk, manfaatkan pagi ini untuk belajar hal baru.",greeting
Met siang,"Met siang. Jangan lupa makan siang, lalu kita lanjut belajar. Ada pertanyaan?",greeting
Met malem,Met malem. Masih kuat belajar? Saya siap menemani.,greeting
Hey,Hey! Ada yang bisa saya bantu jelaskan?,greeting
Yuhuu,Halo! Semangat sekali sepertinya. Mau belajar apa kita?,greeting
Permisi mau nanya,"Silakan, tidak perlu sungkan. Langsung ketik saja pertanyaannya.",greeting
Nanya dong,Boleh banget. Seputar materi apa?,greeting
Aku mau belajar,Pilihan yang tepat! Saya punya banyak referensi. Mau mulai dari dasar atau lanjut?,greeting
Ajari aku,Dengan senang hati. Topik spesifik apa yang ingin kamu kuasai?,greeting
Guide me,"Saya akan memandumu. Katakan padaku, apa tujuan belajarmu hari ini?",greeting
Bot?,"Ya, saya chatbot asisten tutor. Ada yang bisa dibantu?",greeting
Human or AI?,Saya AI yang didesain khusus untuk membantumu belajar materi ini.,greeting
Samlekom,"Waalaikumsalam. Halo, yuk langsung ke materi intinya.",greeting
Hadir,Terima kasih sudah hadir. Ada yang ingin ditanyakan sebelum kita mulai?,greeting
Absen dulu,Halo! Siap menyimak pelajaran? Silakan tanya jika ada yang ragu.,greeting
Start,Sesi dimulai. Silakan input pertanyaanmu.,greeting
Menu,"Halo! Langsung saja ketik pertanyaanmu, saya akan cari jawabannya di materi.",greeting
Buka sesi,Sesi dibuka. Apa yang ingin kamu ketahui hari ini?,greeting
Halo dunia,Halo! Mari kita persempit dunia kita ke materi pelajaran ini dulu. Mau tanya apa?,greeting
Tolong bantu saya belajar,Itu tugas utama saya. Sebutkan topik yang ingin kamu pelajari.,greeting
Ready?,Always ready! Silakan lemparkan pertanyaanmu.,greeting
"Halo selamat pagi, saya mau mulai belajar materi hari ini, apakah sistem sudah siap?",Selamat pagi! Sistem AI Tutor Assistant sudah siap sepenuhnya dengan materi terbaru. Topik spesifik apa yang ingin kamu pelajari hari ini?,greeting
"Permisi min, boleh minta bantuan untuk jelaskan materi yang kemarin nggak?",Halo! Tentu saja boleh. Materi yang mana yang membuatmu bingung? Berikan saya kata kuncinya agar saya bisa carikan di database.,greeting
"Woi, ini bot atau orang asli sih? Gue mau nanya serius nih.","Halo! Saya adalah AI Assistant yang didesain khusus untuk membantumu belajar. Tenang, jawaban saya berbasis data materi yang valid. Mau tanya apa?",greeting
"Assalamualaikum wr wb, selamat pagi Bapak/Ibu Tutor.",Waalaikumsalam warahmatullahi wabarakatuh. Selamat pagi. Mari kita manfaatkan waktu ini untuk mendalami materi. Silakan ajukan pertanyaanmu.,greeting
"Hi there, could you please help me understand the basic concepts?",Hi there! I'd be happy to help. Which specific concept are you struggling with right now? Let's break it down together.,greeting
"Pagi, saya cuma punya waktu 15 menit buat belajar, bisa kasih ringkasan cepet?","Pagi! Oke, kita manfaatkan 15 menit ini dengan efektif. Topik mana yang butuh crash course atau ringkasan kilat?",greeting
"Min, jujur gue pusing banget sama bab terakhir, bisa bantu jelasin pake bahasa manusia gak?","Halo! Saya mengerti perasaanmu. Tenang, kita bedah pelan-pelan pakai bahasa yang lebih santai. Bagian mana yang paling bikin pusing?",greeting
